subject,volume,modality,data,stimDur
sub-06,0,vaso,-0.589362568273319,24
sub-06,1,vaso,-0.6118088600829518,24
sub-06,2,vaso,-0.6740757368817887,24
sub-06,3,vaso,-0.720910788061503,24
sub-06,4,vaso,-0.7064501962226051,24
sub-06,5,vaso,-0.5301173076796251,24
sub-06,6,vaso,-0.20648062913593032,24
sub-06,7,vaso,0.21093406663166256,24
sub-06,8,vaso,0.7315153728319904,24
sub-06,9,vaso,1.1590740658597058,24
sub-06,10,vaso,1.4871352538466454,24
sub-06,11,vaso,1.6768495855838295,24
sub-06,12,vaso,1.737605654280095,24
sub-06,13,vaso,1.744620120470605,24
sub-06,14,vaso,1.78962061895434,24
sub-06,15,vaso,1.8916001658779116,24
sub-06,16,vaso,2.0522853990728303,24
sub-06,17,vaso,2.217610971439933,24
sub-06,18,vaso,2.330813664268321,24
sub-06,19,vaso,2.4890168555804437,24
sub-06,20,vaso,2.582471128210934,24
sub-06,21,vaso,2.612903119991301,24
sub-06,22,vaso,2.624881669947403,24
sub-06,23,vaso,2.603622441646934,24
sub-06,24,vaso,2.6370760496324444,24
sub-06,25,vaso,2.654018683354138,24
sub-06,26,vaso,2.679270761639975,24
sub-06,27,vaso,2.639234346921832,24
sub-06,28,vaso,2.536931055404852,24
sub-06,29,vaso,2.434843593616811,24
sub-06,30,vaso,2.265201426670933,24
sub-06,31,vaso,2.202826635007627,24
sub-06,32,vaso,2.1369985676813,24
sub-06,33,vaso,2.1771428972639124,24
sub-06,34,vaso,2.149732521688688,24
sub-06,35,vaso,2.0859548367872796,24
sub-06,36,vaso,1.8935426334383607,24
sub-06,37,vaso,1.5967767561475437,24
sub-06,38,vaso,1.1896139725045425,24
sub-06,39,vaso,0.6980617648464801,24
sub-06,40,vaso,0.21104198149613196,24
sub-06,41,vaso,-0.2849347356051754,24
sub-06,42,vaso,-0.7188604056365847,24
sub-06,43,vaso,-1.0455187003854223,24
sub-06,44,vaso,-1.2218515889284023,24
sub-06,45,vaso,-1.3190828818153209,24
sub-06,46,vaso,-1.3445507898300963,24
sub-06,47,vaso,-1.3414212587604841,24
sub-06,48,vaso,-1.368076230284423,24
sub-06,49,vaso,-1.4107026017498312,24
sub-06,50,vaso,-1.485163858233709,24
sub-06,51,vaso,-1.509876362197199,24
sub-06,52,vaso,-1.5117109148931784,24
sub-06,53,vaso,-1.4573218232006069,24
sub-06,54,vaso,-1.3804864396984027,24
sub-06,55,vaso,-1.3037589710606678,24
sub-06,56,vaso,-1.2468878374853003,24
sub-06,57,vaso,-1.1939016390308308,24
sub-06,58,vaso,-1.257355579338831,24
sub-06,59,vaso,-1.2246573754046064,24
sub-06,60,vaso,-1.1763115161223205,24
sub-06,0,bold,-0.4925371947211856,24
sub-06,1,bold,-0.4578492257920072,24
sub-06,2,bold,-0.38770698523271113,24
sub-06,3,bold,-0.22857145767101622,24
sub-06,4,bold,0.0004508762163283631,24
sub-06,5,bold,0.29981979804988607,24
sub-06,6,bold,0.6298408279210095,24
sub-06,7,bold,0.9402955954948201,24
sub-06,8,bold,1.2381319119264995,24
sub-06,9,bold,1.5014846068159176,24
sub-06,10,bold,1.7379145334790072,24
sub-06,11,bold,1.9629520933214684,24
sub-06,12,bold,2.1589723242217005,24
sub-06,13,bold,2.326332834106809,24
sub-06,14,bold,2.4616618910926613,24
sub-06,15,bold,2.563222542390462,24
sub-06,16,bold,2.635561517359117,24
sub-06,17,bold,2.6941581305575966,24
sub-06,18,bold,2.736866734423271,24
sub-06,19,bold,2.7650666738178318,24
sub-06,20,bold,2.7899970550217184,24
sub-06,21,bold,2.8111470095676387,24
sub-06,22,bold,2.837456735633216,24
sub-06,23,bold,2.892272922173729,24
sub-06,24,bold,2.9508695353722088,24
sub-06,25,bold,3.001036818860358,24
sub-06,26,bold,3.018866128368875,24
sub-06,27,bold,2.967779281639599,24
sub-06,28,bold,2.8699479701530355,24
sub-06,29,bold,2.7482080143971706,24
sub-06,30,bold,2.641181070499337,24
sub-06,31,bold,2.60286593545238,24
sub-06,32,bold,2.6108865703888764,24
sub-06,33,bold,2.6264680586413056,24
sub-06,34,bold,2.586160536571907,24
sub-06,35,bold,2.4060283150044794,24
sub-06,36,bold,2.0708986004604286,24
sub-06,37,bold,1.588740941029521,24
sub-06,38,bold,1.0027748090447246,24
sub-06,39,bold,0.38247831605785476,24
sub-06,40,bold,-0.20977149807464263,24
sub-06,41,bold,-0.7278432107562312,24
sub-06,42,bold,-1.1263206152445844,24
sub-06,43,bold,-1.378076595926457,24
sub-06,44,bold,-1.507070883917879,24
sub-06,45,bold,-1.5362414734002956,24
sub-06,46,bold,-1.5191784665927173,24
sub-06,47,bold,-1.5106469631889283,24
sub-06,48,bold,-1.5182078165048611,24
sub-06,49,bold,-1.5539686092153544,24
sub-06,50,bold,-1.5963196051539241,24
sub-06,51,bold,-1.6198706414961204,24
sub-06,52,bold,-1.626460844724197,24
sub-06,53,bold,-1.6149152173633807,24
sub-06,54,bold,-1.5884522307576157,24
sub-06,55,bold,-1.5560120830845254,24
sub-06,56,bold,-1.5018089387047635,24
sub-06,57,bold,-1.416596078360331,24
sub-06,58,bold,-1.3104886977036247,24
sub-06,59,bold,-1.1726563852280378,24
sub-06,60,bold,-1.0408012338197763,24
