subject,volume,modality,data,stimDur
sub-05,0,vaso,0.4477221650003597,1
sub-05,1,vaso,0.18990581655344427,1
sub-05,2,vaso,-0.05193960765339681,1
sub-05,3,vaso,-0.3234453197346618,1
sub-05,4,vaso,-0.563009183335778,1
sub-05,5,vaso,-0.7432524711880463,1
sub-05,6,vaso,-0.9577191681261884,1
sub-05,7,vaso,-1.1470886984013564,1
sub-05,8,vaso,-1.3957788044253723,1
sub-05,9,vaso,-1.617090183180689,1
sub-05,10,vaso,-1.72432353164976,1
sub-05,11,vaso,-1.884032774050504,1
sub-05,12,vaso,-1.968450516462326,1
sub-05,13,vaso,-1.9524795922222515,1
sub-05,14,vaso,-1.9000036982905786,1
sub-05,15,vaso,-1.8452462437531807,1
sub-05,16,vaso,-1.7311682134669348,1
sub-05,17,vaso,-1.6627213952951874,1
sub-05,18,vaso,-1.6262164256035887,1
sub-05,19,vaso,-1.591993016517715,1
sub-05,20,vaso,-1.6399057892379383,1
sub-05,21,vaso,-1.6535951528722876,1
sub-05,22,vaso,-1.6513135922665627,1
sub-05,23,vaso,-1.6239348649978638,1
sub-05,24,vaso,-1.562332728643291,1
sub-05,25,vaso,-1.4642256225971197,1
sub-05,26,vaso,-1.400341925636822,1
sub-05,27,vaso,-1.3798078801852978,1
sub-05,28,vaso,-1.4071866074539967,1
sub-05,29,vaso,-1.457380940779945,1
sub-05,30,vaso,-1.566895849854741,1
sub-05,31,vaso,-1.674129198323812,1
sub-05,32,vaso,-1.726605092255485,1
sub-05,33,vaso,-1.699226364986786,1
sub-05,34,vaso,-1.587429895306265,1
sub-05,35,vaso,-1.3273319862536248,1
sub-05,36,vaso,-1.0946128044696832,1
sub-05,37,vaso,-0.7158737439193473,1
sub-05,38,vaso,-0.3257268803403867,1
sub-05,39,vaso,0.08495402869009813,1
sub-05,40,vaso,0.48879025590340824,1
sub-05,41,vaso,0.8287427861564207,1
sub-05,42,vaso,1.0591804073346371,1
sub-05,43,vaso,1.1276272255063846,1
