subject,session,volume,modality,data,stimDur,jitter,interpolation
sub-05,ses-01,14,bold,0.7350611998453216,1.0,0.0,linear
sub-05,ses-01,15,bold,0.8549521357970047,1.0,0.0,linear
sub-05,ses-01,0,bold,-0.42632727996060327,1.0,355,linear
sub-05,ses-01,1,bold,0.07111750808346251,1.0,355,linear
sub-05,ses-01,2,bold,0.535438394507648,1.0,355,linear
sub-05,ses-01,3,bold,0.8913004880170883,1.0,355,linear
sub-05,ses-01,4,bold,0.9886202697676039,1.0,355,linear
sub-05,ses-01,5,bold,0.9332183458192533,1.0,355,linear
sub-05,ses-01,6,bold,0.7702370245744161,1.0,355,linear
sub-05,ses-01,7,bold,0.5433529550717076,1.0,355,linear
sub-05,ses-01,8,bold,0.35193784217082413,1.0,355,linear
sub-05,ses-01,9,bold,0.18807712530775067,1.0,355,linear
sub-05,ses-01,10,bold,0.055288386955387736,1.0,355,linear
sub-05,ses-01,11,bold,-0.027374801158019935,1.0,355,linear
sub-05,ses-01,12,bold,-0.0651888127418121,1.0,355,linear
sub-05,ses-01,13,bold,-0.07398276892409683,1.0,355,linear
sub-05,ses-01,14,bold,-0.06548194461454271,1.0,355,linear
sub-05,ses-01,15,bold,-0.05053221910469308,1.0,355,linear
sub-05,ses-01,0,bold,-0.6417792064263739,1.0,785,linear
sub-05,ses-01,1,bold,-0.6734374486825789,1.0,785,linear
sub-05,ses-01,2,bold,-0.5643923920223393,1.0,785,linear
sub-05,ses-01,3,bold,-0.1545940339282903,1.0,785,linear
sub-05,ses-01,4,bold,0.30796806125943377,1.0,785,linear
sub-05,ses-01,5,bold,0.701937298225408,1.0,785,linear
sub-05,ses-01,6,bold,0.9235449940187657,1.0,785,linear
sub-05,ses-01,7,bold,0.6963677926433043,1.0,785,linear
sub-05,ses-01,8,bold,0.3085543250049172,1.0,785,linear
sub-05,ses-01,9,bold,-0.12469458290854663,1.0,785,linear
sub-05,ses-01,10,bold,-0.48671244574557404,1.0,785,linear
sub-05,ses-01,11,bold,-0.5022484350009293,1.0,785,linear
sub-05,ses-01,12,bold,-0.3700459603940387,1.0,785,linear
sub-05,ses-01,13,bold,-0.15136958332810924,1.0,785,linear
sub-05,ses-01,14,bold,0.08254965112042267,1.0,785,linear
sub-05,ses-01,15,bold,0.16345404799735785,1.0,785,linear
sub-05,ses-01,0,bold,-2.0394319756627866,1.0,.57,linear
sub-05,ses-01,1,bold,-2.0511572505724995,1.0,.57,linear
sub-05,ses-01,2,bold,-1.9538374688219728,1.0,.57,linear
sub-05,ses-01,3,bold,-1.661584991697651,1.0,.57,linear
sub-05,ses-01,4,bold,-1.2890143814418997,1.0,.57,linear
sub-05,ses-01,5,bold,-0.9070635512583802,1.0,.57,linear
sub-05,ses-01,6,bold,-0.5878429418417652,1.0,.57,linear
sub-05,ses-01,7,bold,-0.44244953296145306,1.0,.57,linear
sub-05,ses-01,8,bold,-0.4345349723974046,1.0,.57,linear
sub-05,ses-01,9,bold,-0.5594091501857301,1.0,.57,linear
sub-05,ses-01,10,bold,-0.801829208943794,1.0,.57,linear
sub-05,ses-01,11,bold,-1.1374652032340116,1.0,.57,linear
sub-05,ses-01,12,bold,-1.4818951537064806,1.0,.57,linear
sub-05,ses-01,13,bold,-1.7756132901944999,1.0,.57,linear
sub-05,ses-01,14,bold,-1.9602863700223017,1.0,.57,linear
sub-05,ses-01,15,bold,-1.9300937871298274,1.0,.57,linear
sub-05,ses-01,0,vaso,-1.4882105721725658,2.0,785,linear
sub-05,ses-01,1,vaso,-2.122236703295921,2.0,785,linear
sub-05,ses-01,2,vaso,-2.2983550730523827,2.0,785,linear
sub-05,ses-01,3,vaso,-1.435375061245625,2.0,785,linear
sub-05,ses-01,4,vaso,-0.4843358645606255,2.0,785,linear
sub-05,ses-01,5,vaso,0.5459565985147852,2.0,785,linear
sub-05,ses-01,6,vaso,1.0919235447598874,2.0,785,linear
sub-05,ses-01,7,vaso,0.8101341531495221,2.0,785,linear
sub-05,ses-01,8,vaso,0.387450065733963,2.0,785,linear
sub-05,ses-01,9,vaso,-0.08806953260855899,2.0,785,linear
sub-05,ses-01,10,vaso,-0.47552994607280574,2.0,785,linear
sub-05,ses-01,11,vaso,-0.4491121906093243,2.0,785,linear
sub-05,ses-01,12,vaso,-0.2906056578285021,2.0,785,linear
sub-05,ses-01,13,vaso,-0.2201583099258997,2.0,785,linear
sub-05,ses-01,14,vaso,-0.026428103193754104,2.0,785,linear
sub-05,ses-01,15,vaso,-0.11448728807201825,2.0,785,linear
sub-05,ses-01,16,vaso,-0.4403062721215045,2.0,785,linear
sub-05,ses-01,17,vaso,-0.5635891309510255,2.0,785,linear
