5.9172 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.49999999999999994, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
5.9465 	EXP 	Created Movie Frame 0 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='visual_0.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 0', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1024.,  768.]), texRes=128, units='pix', win=Window(...))
5.9671 	EXP 	Created Movie Frame 1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='visual_1.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1024.,  768.]), texRes=128, units='pix', win=Window(...))
1.0439 	DATA 	Keypress: 5
0.0000 	DATA 	StartOfRun sub-0x_ses-01_run-01
0.0000 	DATA 	TR 1 | TR1 1 | TR2 0
0.0237 	DATA 	Initial baseline

1.0084 	DATA 	Keypress: 5
1.0087 	DATA 	TR 2 | TR1 1 | TR2 1
1.9564 	DATA 	Keypress: 5
1.9568 	DATA 	TR 3 | TR1 2 | TR2 1
2.8051 	DATA 	Keypress: 5
2.8055 	DATA 	TR 4 | TR1 2 | TR2 2
3.6512 	DATA 	Keypress: 5
3.6515 	DATA 	TR 5 | TR1 3 | TR2 2
4.3832 	DATA 	Keypress: 5
4.3835 	DATA 	TR 6 | TR1 3 | TR2 3
5.2173 	DATA 	Keypress: 5
5.2178 	DATA 	TR 7 | TR1 4 | TR2 3
6.0985 	DATA 	Keypress: 5
6.0988 	DATA 	TR 8 | TR1 4 | TR2 4
6.9012 	DATA 	Keypress: 5
6.9015 	DATA 	TR 9 | TR1 5 | TR2 4
7.8141 	DATA 	Keypress: 5
7.8146 	DATA 	TR 10 | TR1 5 | TR2 5
8.6164 	DATA 	Keypress: 5
8.6167 	DATA 	TR 11 | TR1 6 | TR2 5
9.5063 	DATA 	Keypress: 5
9.5068 	DATA 	TR 12 | TR1 6 | TR2 6
10.2714 	DATA 	Keypress: 5
10.2718 	DATA 	TR 13 | TR1 7 | TR2 6
11.1307 	DATA 	Keypress: 5
11.1311 	DATA 	TR 14 | TR1 7 | TR2 7
12.1272 	DATA 	Keypress: 5
12.1276 	DATA 	TR 15 | TR1 8 | TR2 7
12.9028 	DATA 	Keypress: 5
12.9032 	DATA 	TR 16 | TR1 8 | TR2 8
13.7815 	DATA 	Keypress: 5
13.7819 	DATA 	TR 17 | TR1 9 | TR2 8
14.6799 	DATA 	Keypress: 5
14.6803 	DATA 	TR 18 | TR1 9 | TR2 9
15.5117 	DATA 	Keypress: 5
15.5121 	DATA 	Waited 16.55666558300436 seconds for trigger
15.5121 	DATA 	
15.5121 	DATA 	Trial 1
15.5121 	DATA 	stimDur = 30
15.5121 	DATA 	restDur = 30

15.5121 	DATA 	
15.5121 	DATA 	TR 19 | TR1 10 | TR2 9
15.5121 	DATA 	
15.5122 	DATA 	stimulation started
15.5122 	DATA 	
16.2458 	DATA 	Keypress: 5
16.2462 	DATA 	TR 20 | TR1 10 | TR2 10
17.0625 	DATA 	Keypress: 5
17.0628 	DATA 	TR 21 | TR1 11 | TR2 10
17.9622 	DATA 	Keypress: 5
17.9625 	DATA 	TR 22 | TR1 11 | TR2 11
18.7284 	DATA 	Keypress: 5
18.7289 	DATA 	TR 23 | TR1 12 | TR2 11
19.4960 	DATA 	Keypress: 5
19.4964 	DATA 	TR 24 | TR1 12 | TR2 12
20.3624 	DATA 	Keypress: 5
20.3628 	DATA 	TR 25 | TR1 13 | TR2 12
21.1948 	DATA 	Keypress: 5
21.1952 	DATA 	TR 26 | TR1 13 | TR2 13
22.0952 	DATA 	Keypress: 5
22.0956 	DATA 	TR 27 | TR1 14 | TR2 13
22.9136 	DATA 	Keypress: 5
22.9140 	DATA 	TR 28 | TR1 14 | TR2 14
23.7637 	DATA 	Keypress: 5
