stimDur,restDur,jitter
12.0,20.0,0.4795
2.0,14.0,1.4385
12.0,20.0,2.3975
1.0,12.0,0.0
4.0,16.0,1.4385
24.0,24.0,1.4385
2.0,14.0,0.0
2.0,14.0,2.3975
12.0,20.0,1.918
1.0,12.0,1.4385
1.0,12.0,2.3975
1.0,12.0,1.918
2.0,14.0,0.4795
2.0,14.0,1.918
4.0,16.0,1.918
12.0,20.0,0.959
4.0,16.0,2.3975
4.0,16.0,0.4795
4.0,16.0,0.959
1.0,12.0,0.959
12.0,20.0,0.0
24.0,24.0,2.3975
4.0,16.0,0.0
12.0,20.0,1.4385
24.0,24.0,1.918
2.0,14.0,0.959
24.0,24.0,0.0
24.0,24.0,0.4795
24.0,24.0,0.959
1.0,12.0,0.4795
