stimDur,restDur,jitter
1.0,12.0,0.78525
12.0,20.0,0.0
2.0,14.0,1.5705
1.0,12.0,2.35575
24.0,24.0,0.0
24.0,24.0,1.5705
4.0,16.0,2.35575
24.0,24.0,2.35575
4.0,16.0,1.5705
2.0,14.0,0.78525
4.0,16.0,0.78525
1.0,12.0,0.0
1.0,12.0,1.5705
12.0,20.0,1.5705
2.0,14.0,0.0
4.0,16.0,0.0
12.0,20.0,2.35575
2.0,14.0,2.35575
24.0,24.0,0.78525
12.0,20.0,0.78525
