MonitorDistance=99cm
MonitorWidth=30cm
PixelWidth=1920.0
PixelHeight=1200.0
You have detected 9 out of 10 targets.
Well done! Keep up the good work
9.2049 	INFO 	Loaded monitor calibration from ['2022_07_20 19:17']
10.4142 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbda253c880>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbd57d73d60>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, units='deg', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.4143 	EXP 	window1: mouseVisible = True
10.4545 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.49999999999999994, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
10.4799 	EXP 	Created Movie Frame 0 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='visual_0.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 0', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1024.,  768.]), texRes=128, units='pix', win=Window(...))
10.4972 	EXP 	Created Movie Frame 1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='visual_1.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1024.,  768.]), texRes=128, units='pix', win=Window(...))
28.1340 	DATA 	Keypress: 5
0.0000 	DATA 	StartOfRun sub-02_ses-01_run-03
0.0000 	DATA 	TR 1 | TR1 1 | TR2 0
0.0158 	DATA 	Initial baseline

0.5134 	DATA 	Keypress: 5
0.5138 	DATA 	TR 2 | TR1 1 | TR2 1
3.3951 	DATA 	Keypress: 5
3.3956 	DATA 	TR 3 | TR1 2 | TR2 1
3.9092 	DATA 	Keypress: 5
3.9096 	DATA 	TR 4 | TR1 2 | TR2 2
6.7928 	DATA 	Keypress: 5
6.7930 	DATA 	TR 5 | TR1 3 | TR2 2
7.3067 	DATA 	Keypress: 5
7.3070 	DATA 	TR 6 | TR1 3 | TR2 3
10.1922 	DATA 	Keypress: 5
10.1926 	DATA 	TR 7 | TR1 4 | TR2 3
10.7064 	DATA 	Keypress: 5
10.7068 	DATA 	TR 8 | TR1 4 | TR2 4
13.5911 	DATA 	Keypress: 5
13.5914 	DATA 	TR 9 | TR1 5 | TR2 4
14.1052 	DATA 	Keypress: 5
14.1055 	DATA 	TR 10 | TR1 5 | TR2 5
16.9970 	DATA 	Keypress: 5
16.9990 	DATA 	
16.9990 	DATA 	Trial 1
16.9991 	DATA 	stimDur = 12.0
16.9991 	DATA 	jitter = 0.86175
16.9991 	DATA 	restDur = 20.0

16.9991 	DATA 	
16.9991 	DATA 	TR 11 | TR1 6 | TR2 5
17.5168 	DATA 	Keypress: 5
17.5172 	DATA 	TR 12 | TR1 6 | TR2 6
17.8643 	DATA 	
17.8643 	DATA 	stimulation started
17.8643 	DATA 	
20.3957 	DATA 	Keypress: 5
20.3960 	DATA 	TR 13 | TR1 7 | TR2 6
20.9153 	DATA 	Keypress: 5
20.9157 	DATA 	TR 14 | TR1 7 | TR2 7
23.7990 	DATA 	Keypress: 5
23.7994 	DATA 	TR 15 | TR1 8 | TR2 7
24.3189 	DATA 	Keypress: 5
24.3193 	DATA 	TR 16 | TR1 8 | TR2 8
27.1971 	DATA 	Keypress: 5
27.1974 	DATA 	TR 17 | TR1 9 | TR2 8
27.7172 	DATA 	Keypress: 5
27.7177 	DATA 	TR 18 | TR1 9 | TR2 9
29.8636 	DATA 	
29.8637 	DATA 	stimulation stopped
29.8637 	DATA 	
30.5978 	DATA 	Keypress: 5
